,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College of Arts & Sciences,50.0903,001097,MUSIC PENDING ,16,2,2,1,,21,,,,,,0, 21 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.9999,001095,FILM PENDING ,77,31,11,2,,121,,,,,,0, 121 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.9999,001099,UND MAJOR (COLLEGE OF A&S) ,28,9,5,2,,44,,,,,,0, 44 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,52.1304,001709,ACTUARIAL SCIENCE ,2,4,4,3,,13,,,,,,0, 13 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,54.0101,002201,HISTORY - PUBLIC HISTORY ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,54.0101,002205,HISTORY ,42,36,87,104,,269,,,48,,,48, 317 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,54.0101,002206,HISTORY-HISTORY ACCELERATED MA,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,31.0504,000524,BUSINESS SPORTS MANAGEMENT ,,,,,,0,,,64,,,64, 64 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000501,GEN BUSINESS ADMINISTRATION ,,6,130,305,,441,,,,,,0, 441 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000512,BUS ADMIN-INTERNATIONAL BUS ,,,4,24,,28,,,,,,0, 28 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000586,BUS ADMIN-GEN BUS (AS TO BS) ,,,,2,,2,,,,,,0, 2 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000588,BUSINESS ADMINISTRATION ,,,,,,0,,,442,,,442, 442 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000590,UND MAJOR (COL OF BUS) ,,,,,,0,87,,,,,87, 87 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000594,BUS ADMN-EXECUTIVE MBA ,,,,,,0,,,35,,,35, 35 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000595,BUS ADMN-MBA COHORT ,,,,,,0,,,30,,,30, 30 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000597,BUSINESS PENDING 2 ,,239,490,128,,857,,,,,,0, 857 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000599,BUSINESS PENDING 1 ,"1,145",778,542,143,1,"2,609",1,,,,,1," 2,610 ",,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000506,MANAGEMENT ,,8,204,401,,613,,,1,,,1, 614 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000514,MANAGEMENT-INTERNATIONAL BUS ,,,2,24,,26,,,,,,0, 26 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000519,BUS ADMIN - MANAGEMENT ,,,,,,0,,,,,12,12, 12 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000520,BUS ADMIN - MARKETING ,,,,,,0,,,,,8,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000522,MANAGEMENT-MGMT INFO SYSTEMS ,,,,12,,12,,,,,,0, 12 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000523,BUSINESS ADMINISTRATION-M.I.S.,,,,,,0,,,,,14,14, 14 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000530,MANAGEMENT - ENTREPRENEURSHIP ,,,1,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000587,BUS ADMIN-FINANCE ,,,,,,0,,,,,8,8, 8 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000593,MANAGEMENT-HR/CHANGE MGMT ,,,,,,0,,,36,,,36, 36 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000598,BUS ADMIN-ACCOUNTING ,,,,,,0,,,,,6,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0301,000502,ACCOUNTING ,,8,184,484,,676,,,139,,,139, 815 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0601,000516,ECONOMICS-INTERNATIONAL BUS ,,,,7,,7,,,,,,0, 7 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0601,000517,ECONOMICS ,,3,49,64,,116,,,,,,0, 116 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0601,000589,APPLIED ECONOMICS ,,,,,,0,,,30,,,30, 30 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0801,000504,FINANCE ,,6,272,497,,775,,,,,,0, 775 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0801,000505,FINANCE-INTERNATIONAL BUS ,,,4,19,,23,,,,,,0, 23 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.0901,000508,HOSPITALITY MANAGEMENT ,,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.1201,000515,MGMT INFORMATION SYSTEMS ,,5,93,375,,473,,,111,,,111, 584 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.1401,000509,MARKETING ,,8,226,431,,665,,,,,,0, 665 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.1401,000511,MARKETING-INTERNATIONAL BUS ,,,3,24,,27,,,,,,0, 27 ,,,,,,,,,,,,,,,,,,,
College of Business Administration,52.1601,000592,TAXATION ,,,,,,0,,,46,,,46, 46 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000829,CURRICULUM AND INSTRUCTION ,,,,,,0,,,,,106,106, 106 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000853,CURRICULUM & INSTRUCTION ,,,,,,0,,,,,18,18, 18 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000871,EDU(PH.D)-COUNSELOR EDUCATION ,,,,,,0,,,,,16,16, 16 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000872,EDU(PH.D) - ELEMENTARY EDU ,,,,,,0,,,,,1,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000873,EDU(PH.D) - EXCEPTIONAL EDU ,,,,,,0,,,,,13,13, 13 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000874,EDU(PH.D)-INSTRUCTIONAL TECH ,,,,,,0,,,,,20,20, 20 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000875,EDU(PH.D)-MATHEMATICS EDU ,,,,,,0,,,,,6,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0101,000876,EDU(PH.D)-EXERCISE PHYSIOLOGY ,,,,,,0,,,,,2,2, 2 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0301,000828,CURRICULUM AND INSTRUCTION ,,,,,,0,,,29,3,,32, 32 ,,,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0804,INITIAL TCHR PROF PREPARATION ,,,,,,0,,58,,,,58, 58 ,,,,,,,,,,,,,,,,,,,
