COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Germany,Technische Universität Dresden,Systementwurf mit Hardwarebeschreibungssprachen,ECPE 4506 Digital Design,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Systementwurf mit Hardwarebeschreibungssprachen,ECPE 4999 Elective,Computer Engineering,Virginia Tech,98-99
Germany,Technische Universität Dresden,Einfuhrung in die Stochastik,STAT 4714 Probability and Statistics for Electrical Eng,Computer Engineering,Virginia Tech,98-99
Hungary,Technical University of Budapest,Sanitary Engineering SAEN.103-CI.B6,CEE 4114 Fundamentals of public Health Engineering,Civil Engineering,Virginia Tech,98-99
Hungary,Technical University of Budapest,Hydrology I HYDR.103-CI.B3,CEE 4304 Hydrology,Civil Engineering,Virginia Tech,98-99
Hungary,Technical University of Budapest,Foundation Engineering FOEN.104-CI.B5,CEE 4534 Earth Pressures and Foundation Structures,Civil Engineering,Virginia Tech,98-99
Hungary,Technical University of Budapest,HSTD.103-NS.BX,HST 2999 Elective,History,Virginia Tech,98-99
Japan,Tohoku University,Electricity and Magnetism A,ECPE 2999 Elective,Industrial & Systems,Virginia Tech,Fall 99
Japan,Tohoku University,Mechanics of Materials A,ESM 2999 Elective,Industrial & Systems,Virginia Tech,Fall 99
Japan,Tohoku University,Japanese Culture A,HUM 2999 Elective,Industrial & Systems,Virginia Tech,Fall 99
Japan,Tohoku University,Aspects of Education,HUM 2999 Elective,Industrial & Systems,Virginia Tech,Fall 99
Japan,Tohoku University,"Science, Technology, and Industry of Japan A",ISE 2999 Elective,Industrial & Systems,Virginia Tech,Fall 99
Japan,Tohoku University,Individual Research Training A,PHYS 4994-Undergrad Research,Industrial & Systems,Virginia Tech,Fall 99
Japan,Tohoku University,Japanese 2,VT-XXXX Japanese 2,For. Lang. Lit.,Virginia Tech,Fall 99
Hungary,Technical University of Budapest,Geotechnics I. GEOT.104-CI.B4,"CEE 3304 Energy, Power, and the Environment",Civil Engineering,Virginia Tech,Fall 99
Hungary,Technical University of Budapest,"Structural Analysis STAN.103,204-CI.B4, B5",CEE 3404 Theory of Structures,Civil Engineering,Virginia Tech,Fall 99
Hungary,Technical University of Budapest,Fluid Mechanics FLME.105-CI.B3,CEE 3514 Soil Mechanics,Civil Engineering,Virginia Tech,Fall 99
Hungary,Technical University of Budapest,Highway Engineering HIEN.104-CI.B5,CEE 3604 Intro. To Transportation Engr.,Civil Engineering,Virginia Tech,Fall 99
