Receptor,X [m],Y [m],Positive Risk Per Million,Neg. Risk Per Million,Net Risk Per Million
36,-91,0,0.0503,2.5280,-2.4777
51,651,785,0.0531,2.6710,-2.6180
198,900,700,0.0458,2.6750,-2.6292
177,800,500,0.0442,2.7290,-2.6848
189,900,600,0.0441,2.8620,-2.8179
37,9,0,0.0456,2.8700,-2.8244
50,647,769,0.0528,3.0230,-2.9702
176,700,500,0.0462,3.1700,-3.1238
197,800,700,0.0478,3.2120,-3.1642
188,800,600,0.0461,3.4780,-3.4319
47,563,480,0.0489,3.4940,-3.4451
175,600,500,0.0485,3.7230,-3.6746
196,700,700,0.0500,3.9370,-3.8870
187,700,600,0.0482,4.3410,-4.2928
49,619,673,0.0515,5.1660,-5.1145
48,591,577,0.0503,5.4460,-5.3957
186,600,600,0.0506,5.6090,-5.5584
262,-500,1400,0.3363,6.8130,-6.4767
276,-400,1500,0.1749,11.5400,-11.3651
5,-398,1501,0.1736,12.1300,-11.9564
7,-508,1334,0.7650,15.8400,-15.0750
6,-453,1417,0.2834,17.8900,-17.6066
